time;delayMs;Util;dropProb;Dq;reward
101.64;33.648712158203125;0.9831507205963135;0.019999999552965164;1249580000.0;1.0
101.66;34.43359375;0.9831529855728149;0.0;1249830000.0;1.0
101.68;35.133514404296875;0.9831557869911194;0.0;1250080000.0;1.0
101.7;35.77679443359375;0.983158528804779;0.0;1250330000.0;1.0
101.72;36.33039474487305;0.9831613302230835;0.009999999776482582;1250580000.0;1.0
101.74;37.304073333740234;0.983163595199585;0.0;1250830000.0;1.0
101.76;37.77271270751953;0.9831663966178894;0.0;1251080000.0;1.0
101.78;38.420711517333984;0.9831691384315491;0.0;1251330000.0;1.0
101.8;39.063995361328125;0.9831719398498535;0.009999999776482582;1251580000.0;1.0
101.82;38.91431427001953;0.983174204826355;0.0;1251830000.0;1.0
101.84;40.02487564086914;0.9831770062446594;0.009999999776482582;1252080000.0;1.0
101.86;40.257511138916016;0.9831797480583191;0.019999999552965164;1252330000.0;1.0
101.88;40.858314514160156;0.9831820726394653;0.009999999776482582;1252570000.0;1.0
101.9;41.931114196777344;0.983184814453125;0.009999999776482582;1252820000.0;1.0
101.92;42.626312255859375;0.9831875562667847;0.009999999776482582;1253070000.0;1.0
101.94;43.03831481933594;0.9831902980804443;0.0;1253320000.0;1.0
101.96;43.35591125488281;0.9831926226615906;0.009999999776482582;1253570000.0;1.0
101.98;44.23519515991211;0.9831953644752502;0.0;1253820000.0;1.0
102.0;45.07671356201172;0.9831981062889099;0.009999999776482582;1254070000.0;1.0
102.02;45.39431381225586;0.9832009077072144;0.019999999552965164;1254320000.0;1.0
102.04;46.23111343383789;0.9832031726837158;0.11999999731779099;1254570000.0;1.0
102.06;47.01127624511719;0.9832059144973755;0.10999999940395355;1254820000.0;1.0
102.08;47.14479446411133;0.9832086563110352;0.10000000149011612;1255070000.0;1.0
102.1;47.13199234008789;0.9832109808921814;0.09000000357627869;1255310000.0;1.0
102.12;46.831275939941406;0.9832137227058411;0.08000000566244125;1255560000.0;1.0
102.14;46.49751281738281;0.9832164645195007;0.0;1255810000.0;1.0
102.16;43.652713775634766;0.9832192063331604;0.0;1256060000.0;1.0
102.18;41.7471923828125;0.9832214713096619;0.0;1256310000.0;1.0
102.2;41.73439407348633;0.9832242131233215;0.0;1256560000.0;1.0
102.22;39.27191162109375;0.9832269549369812;0.0;1256810000.0;1.0
102.24;38.17351150512695;0.9832296967506409;0.0;1257060000.0;1.0
102.26;37.59431457519531;0.9832320213317871;0.0;1257310000.0;1.0
102.28;37.81751251220703;0.9832347631454468;0.0;1257560000.0;1.0
102.3;38.32391357421875;0.9832374453544617;0.0;1257810000.0;1.0
102.32;38.82559585571289;0.9832397699356079;0.0;1258060000.0;1.0
102.34;39.57271194458008;0.9832425117492676;0.0;1258300000.0;1.0
102.36;40.645511627197266;0.9832451939582825;0.0;1258550000.0;1.0
102.38;41.010311126708984;0.9832479357719421;0.0;1258800000.0;1.0
102.4;41.32319259643555;0.9832502007484436;0.0;1259050000.0;1.0
102.42;41.975914001464844;0.9832529425621033;0.0;1259300000.0;1.0
102.44;42.52479553222656;0.9832556843757629;0.0;1259550000.0;1.0
102.46;42.70551300048828;0.9832584261894226;0.009999999776482582;1259800000.0;1.0
102.48;42.975914001464844;0.9832606911659241;0.009999999776482582;1260050000.0;1.0
102.5;43.09999465942383;0.9832634329795837;0.019999999552965164;1260300000.0;1.0
102.52;43.988712310791016;0.9832661747932434;0.029999999329447746;1260550000.0;1.0
102.54;44.63671112060547;0.9832684397697449;0.0;1260800000.0;1.0
102.56;45.379112243652344;0.9832711219787598;0.009999999776482582;1261050000.0;1.0
102.58;46.2111930847168;0.9832738637924194;0.009999999776482582;1261290000.0;1.0
102.6;47.052711486816406;0.9832766056060791;0.0;1261540000.0;1.0
102.62;47.13431167602539;0.9832788705825806;0.0;1261790000.0;1.0
102.64;47.16399383544922;0.9832815527915955;0.0;1262040000.0;1.0
102.66;46.395992279052734;0.9832838773727417;0.009999999776482582;1262290000.0;1.0
102.68;46.38791275024414;0.9832868576049805;0.019999999552965164;1262540000.0;1.0
102.7;42.49999237060547;0.9832893013954163;0.0;1262790000.0;1.0
102.72;38.24623489379883;0.9832918643951416;0.0;1263040000.0;1.0
102.74;35.598716735839844;0.9832943677902222;0.0;1263290000.0;1.0
102.76;34.29503631591797;0.9832971096038818;0.0;1263540000.0;1.0
102.78;31.88503646850586;0.9832996129989624;0.0;1263790000.0;1.0
102.8;32.088558197021484;0.9833023548126221;0.0;1264040000.0;1.0
102.82;30.643918991088867;0.9833048582077026;0.0;1264280000.0;1.0
102.84;30.66160011291504;0.9833071231842041;0.0;1264530000.0;1.0
102.86;29.7567195892334;0.9833099842071533;0.009999999776482582;1264780000.0;1.0
102.88;27.453519821166992;0.983312726020813;0.0;1265030000.0;1.0
102.9;24.751121520996094;0.9833148717880249;0.0;1265280000.0;1.0
102.92;22.918161392211914;0.9833177924156189;0.009999999776482582;1265530000.0;1.0
102.94;21.96520233154297;0.9833205342292786;0.019999999552965164;1265780000.0;1.0
102.96;15.543286323547363;0.9833228588104248;0.009999999776482582;1266030000.0;1.0
